Education;Income;Kidhome;Teenhome;Recency;Wines;Fruits;Meat;Fish;Sweets;Gold;NumDealsPurchases;NumWebPurchases;NumCatalogPurchases;NumStorePurchases;NumWebVisitsMonth;Customer_For;Age;Spent;Living_With;Children;Family_Size;Is_Parent
-0.893586198;0.287104872;-0.822753543;-0.929698661;0.31035323;0.97765966;1.552040512;1.69029324;2.453471915;1.483712524;0.852575537;0.35102992;1.426864523;2.503607293;-0.55581429;0.692180521;1.973582667;1.018352021;1.676245365;-1.349603116;-1.264597919;-1.758358693;-1.58113883
-0.893586198;-0.260882029;1.040021112;0.908097084;-0.38081349;-0.87261799;-0.63746126;-0.71822975;-0.651003677;-0.634018624;-0.733642421;-0.168701126;-1.126419919;-0.571339588;-1.17116024;-0.132545206;-1.665144325;1.274785217;-0.963296959;-1.349603116;1.404572498;0.449070041;0.632455532
-0.893586198;0.913196401;-0.822753543;-0.929698661;-0.795513522;0.357935255;0.570539717;-0.178542191;1.339513026;-0.147183877;-0.037254049;-0.688432172;1.426864523;-0.229678823;1.290223561;-0.54490807;-0.172664105;0.334530165;0.280110085;0.740958574;-1.264597919;-0.654644326;-1.58113883
-0.893586198;-1.176114009;1.040021112;-0.929698661;-0.795513522;-0.87261799;-0.561961199;-0.655786561;-0.504910708;-0.58533515;-0.752986542;-0.168701126;-0.761664999;-0.913000352;-0.55581429;0.279817657;-1.92321007;-1.289546742;-0.920134632;0.740958574;0.069987289;0.449070041;0.632455532
0.5716567;0.294306667;1.040021112;-0.929698661;1.554453326;-0.392257446;0.419539595;-0.218684241;0.152507652;-0.001133453;-0.559545328;1.390492012;0.332599762;0.111981941;0.059531661;-0.132545206;-0.822129561;-1.033113546;-0.307561602;0.740958574;0.069987289;0.449070041;0.632455532
0.5716567;0.490381342;-0.822753543;0.908097084;-1.141096882;0.636662978;0.394372908;-0.307888796;-0.68752692;0.363992607;-0.57888945;-0.168701126;0.697354683;0.453642706;1.290223561;0.279817657;-0.254384924;0.163574701;0.180504715;0.740958574;0.069987289;0.449070041;0.632455532
-0.893586198;0.170807499;-0.822753543;0.908097084;-0.519046834;-0.208415757;0.97320671;-0.013513764;0.225554137;0.534384768;-0.327415871;0.870760966;1.062109603;0.111981941;0.367204636;0.279817657;1.035943797;-0.178336227;-0.028666564;-1.349603116;0.069987289;-0.654644326;0.632455532
0.5716567;-0.859792589;1.040021112;-0.929698661;-0.588163506;-0.679880735;-0.410961077;-0.495218362;-0.632742056;-0.634018624;-0.404792357;-0.168701126;-0.032155158;-0.913000352;-0.55581429;1.104543385;-0.103846573;-1.375024474;-0.727564248;0.740958574;0.069987289;0.449070041;0.632455532
0.5716567;-1.003967878;1.040021112;-0.929698661;-1.037421874;-0.863722425;-0.662627947;-0.63794565;-0.632742056;-0.58533515;-0.811018907;-0.688432172;-0.396910078;-0.913000352;-1.17116024;1.516906248;0.154219171;-0.434769422;-0.931755258;0.740958574;0.069987289;0.449070041;0.632455532
0.5716567;-2.15174814;1.040021112;0.908097084;0.65593659;-0.822209785;-0.662627947;-0.71822975;-0.669265298;-0.634018624;-0.598233571;-0.688432172;-1.126419919;-0.913000352;-1.786506191;6.052897748;-1.050087635;1.616696145;-0.92677499;0.740958574;1.404572498;1.552784407;0.632455532
2.036899599;-2.065698306;-0.822753543;-0.929698661;0.344911566;-0.887443933;-0.259960955;-0.695928611;-0.486649087;-0.634018624;-0.540201207;-0.688432172;-0.761664999;-0.913000352;-0.863487265;1.104543385;1.035943797;-0.605724886;-0.906853916;0.740958574;-1.264597919;-0.654644326;-1.58113883
-0.893586198;0.514542203;-0.822753543;-0.929698661;1.139753294;-0.329988487;0.872539962;1.395918208;3.421337835;2.067914221;-0.269383507;-0.688432172;-0.396910078;0.453642706;0.674877611;-1.369633797;-0.542558338;0.847396557;0.821299267;-1.349603116;-1.264597919;-1.758358693;-1.58113883
0.5716567;0.343604115;1.040021112;0.908097084;0.13756155;-0.214346134;-0.612294573;-0.508599045;-0.632742056;-0.536651675;-0.57888945;0.35102992;0.697354683;-0.571339588;-0.248141315;0.279817657;-0.542558338;1.445740681;-0.493491627;-1.349603116;1.404572498;0.449070041;0.632455532
-0.893586198;-1.609290359;-0.822753543;-0.929698661;-0.38081349;-0.896339499;-0.310294329;-0.669167245;-0.577957193;-0.634018624;-0.752986542;-0.688432172;-1.126419919;-0.913000352;-0.863487265;1.104543385;1.182181052;-1.545979938;-0.931755258;0.740958574;-1.264597919;-0.654644326;-1.58113883
0.5716567;1.432980143;-0.822753543;-0.929698661;-0.89918853;2.077744609;-0.108960833;-0.232064924;0.389908727;0.996877778;0.020778315;-0.688432172;1.062109603;1.136964235;1.905569512;-0.957270933;0.988631744;1.958607073;1.174898333;-1.349603116;-1.264597919;-1.758358693;-1.58113883
-0.893586198;-0.469687619;1.040021112;0.908097084;0.068444878;-0.748080071;-0.536794512;-0.660246789;-0.651003677;-0.341917776;-0.772330664;0.35102992;-0.396910078;-0.913000352;-0.863487265;1.104543385;0.859598872;-0.947635814;-0.848750783;0.740958574;1.404572498;1.552784407;0.632455532
-0.893586198;-0.659722079;-0.822753543;-0.929698661;-1.002863538;-0.656159227;-0.536794512;-0.575502462;2.05171625;-0.366259514;-0.308071749;-0.168701126;-0.032155158;-0.571339588;0.059531661;0.692180521;1.354224881;1.958607073;-0.481871001;0.740958574;-1.264597919;-0.654644326;-1.58113883
0.5716567;1.163261307;-0.822753543;0.908097084;1.450778318;2.095535741;1.350707016;1.476202307;-0.68752692;-0.268892564;2.554858223;-0.168701126;2.521129285;0.453642706;0.982550586;-0.132545206;0.455295872;1.702173877;1.950160135;0.740958574;0.069987289;0.449070041;0.632455532
2.036899599;-0.843158766;1.040021112;-0.929698661;1.277986638;-0.89337431;-0.234794268;-0.660246789;-0.139678286;-0.074158665;-0.095286414;-0.168701126;-0.761664999;-0.571339588;-0.863487265;0.279817657;2.098314444;-1.375024474;-0.787327471;-1.349603116;0.069987289;-0.654644326;0.632455532
-0.893586198;-0.693175579;-0.822753543;-0.929698661;-0.277138482;-0.65022885;-0.612294573;-0.41939449;0.572524938;0.266625657;0.078810679;-0.688432172;-0.032155158;-0.229678823;-0.248141315;1.104543385;1.453150083;-1.118591278;-0.48353109;0.740958574;-1.264597919;-0.654644326;-1.58113883
-0.893586198;-2.300476822;1.040021112;-0.929698661;-0.242580146;-0.902269876;-0.63746126;6.948901767;-0.669265298;-0.634018624;-0.830363028;6.587802474;-1.491174839;8.653501054;-1.786506191;-1.78199666;0.17572465;-0.862158082;1.86383548;0.740958574;0.069987289;0.449070041;0.632455532
0.5716567;0.30889611;-0.822753543;0.908097084;0.48314491;1.665583402;-0.662627947;-0.361411529;-0.68752692;-0.658360362;-0.482168842;0.35102992;-0.761664999;0.111981941;0.982550586;1.104543385;0.863899967;1.702173877;0.60548763;0.740958574;0.069987289;0.449070041;0.632455532
0.5716567;0.620989379;-0.822753543;0.908097084;-1.694030258;0.233397336;-0.662627947;-0.290047885;-0.304032876;0.120575233;-0.752986542;0.35102992;0.697354683;-0.229678823;0.982550586;-0.54490807;-2.052242942;1.274785217;-0.105030681;0.740958574;0.069987289;0.449070041;0.632455532
